groupid,gender1,gender2,gender3,gender4,round2score1,round2score2,round2score3,round2score4,round3score1,round3score2,round3score3,round3score4,participantlabel1,participantlabel2,participantlabel3,participantlabel4
101,0,0,0,0,9,8,19,14,13,8,10,10,6718319860a7d215c9c764fa,6739d4d0a3d95e6278fc31da,66cdeb8a1b24ca4b3267616c,588c98cf670d6600012bd774
102,0,0,0,0,12,16,17,16,10,19,14,18,664b8bef90cdb799d4c4c35d,5d747c71641e7d0019a27ad4,610502298d2771ca33b3b885,62fcc87b89f17c39f2bf27f7
103,0,0,0,0,10,14,0,8,17,9,3,8,5f3d429e599d9708bd5ffb2c,669efd7db71fd5f9f21c9091,672c2f23e4984e3a43bf3525,627a86f8b9a98a5c46bf74ec
104,0,0,0,0,16,16,0,9,17,19,18,12,666ee3a2c4fa0e325c6b20ad,616437a7882ca1d66da11c4f,677429770591e6f0010483b3,60d20bdca2934c2104798fff
105,0,0,0,0,11,17,20,9,10,18,16,8,67cee8d6088dc3c843f48e48,6658b23d488052210af6eb17,68f14c885d2afbce1ad175cb,6773cb4b4f06b14a316645bb
106,0,0,0,0,26,14,11,25,24,13,8,26,6704ff109ba8494402d8c7c9,6665e393be1c4745c199b2a9,666057af6ae26e9f9ddd4fde,591b3e133d3e900001045a7b
107,0,0,0,0,3,9,12,16,10,10,17,11,60e0dc6be0772b7dfdad9b2c,676055c89368f6d2a896e381,5c8b065abd96ce0001947d1b,63cdba9e0c27bf2817c222d0
108,0,0,0,0,18,10,19,6,16,8,17,9,5f12f9e19b4f8213cf3bdd2c,60098b438497516c56ba4ae1,5ac3b688fa3b4e0001735a24,6771ff8ec9ba55882b8c525c
109,0,0,0,0,10,16,12,16,11,14,6,8,609a3eb31cacec1cad4b9448,6729ea97d08f6c539f93e892,58d7ab1b31506e0001447859,6346b1cce2a315bc0fe0cd6c
110,0,0,0,0,13,12,9,8,10,16,9,8,6723ce11f837f6937a6ffc36,63d2797ee24c80630f3b67e1,5ea15f2e173fb7000932a6ff,673ab02669cc4fadd7431dd4
111,0,0,0,0,20,11,11,12,18,7,16,18,6760cf91a1fca8622a0ea334,6658e2cb395c02efada6a7a1,5e9c4d6f80400c000ae44d9f,66a7a354021e287f1f17502f
112,0,0,0,0,11,19,12,16,16,9,16,18,60377564edd48263e3130a88,607a7b7d300ce256f51706bd,6720399b1ba24a4b13916159,66ad0ba74144a944c514c772
113,0,0,0,0,27,16,16,18,19,16,21,20,66b73f9ba035651170b94c76,662e6abdf5377ea0d8d34d6d,6761b63723fa44d7d00ce121,60001f74b9d8d70009041d15
114,0,0,0,0,14,10,10,11,8,16,8,13,62681384fd4e3b590854ac76,6266cb866a3b01a9fbb1de05,6649a85b84cfe4b5b8a6132e,5f933255e25f2b0e6f794a54
115,0,0,0,0,8,30,16,16,16,26,12,27,67c8c28fccf665e3c35c44ce,5bacc09b709f60000104352f,6674541115de61728e3bb13c,68d31afd800f04c9fec4916d
116,0,0,0,0,12,12,3,20,18,11,5,18,63d79eca5c90c9af6c519196,66a50183d6f19b4257015e67,66a2741b8cc4486c4d2032d9,5d469176beeecd0001d01c9e
117,0,0,0,0,27,13,9,14,25,10,10,16,66dd459b087d8653de509a25,5a0a057c80acd80001047392,5f3e69e09b6596057ef8b20b,596df2ca780e5c0001852208
118,0,0,0,0,16,11,16,0,15,12,11,0,6658cc258f1ee667f4264111,5c053f1d44da8500016434d7,5979d62b1fc28a000191759a,5ea026ebbc5a78011ea73ffb
119,0,0,0,0,11,16,17,8,8,16,19,5,6786ac3884590b61c3814179,646f8a859c69c3cb1d5f08c8,6315fd72852e279a1a13e5f1,67b735b4fe304046ac0528fe
120,0,0,0,0,0,8,9,17,8,12,13,13,5ac8a695e1099600016aaae4,5990e311cceb0f0001b39985,5dbafd726775fe0f7de4e5f9,606f1462c3fcfaeb5c52bec8
121,0,0,0,0,8,2,20,16,12,6,17,26,5dd61dcccaee3e5c8b9141cf,5bf941a5ede34e0001abff9b,5d1595d71ae42000191bc23c,63d15a2dccce0705127190e3
122,0,0,0,0,19,19,8,19,16,19,8,13,66515fd539f7b5b6cff2dd8d,5a0afa44fe645f0001e9f3d9,672c4935ef13e4a54fc284a9,5de3c83c2033793be6591e53
123,0,0,0,0,7,8,13,9,10,9,13,5,691259613f5bba344912631f,5e70e3be01c7e1070314d723,678faeccd7478a097034a5cb,65fcaa30c61e9b7657625912
124,0,0,0,0,16,11,13,8,16,21,10,2,66789f46876079055bec794d,6229fff149374541c22a95bf,5efec43017f2363e1bf47368,6718343c82dda1264ded40d6
125,0,0,0,0,14,5,9,25,13,8,8,12,62b2113b283e52ffa5e1ae13,67d0a021830da9af217a23a1,5debd384b48fa72bff8b0efc,60f5a1df58e2d70959c0545f
126,0,0,0,0,16,16,8,19,20,10,8,9,68d47ceef9cefe423772219f,617436710567e368c66b0761,60f291e90e3b478802a3f7d0,5f2c95d13e33c7074c6d1e47
127,0,0,0,0,16,6,10,18,13,10,11,15,5f0c7fb61fa6930c50a6a29b,606160bf0555181b9aabd129,66cee9fa0061a677d1b1f385,662e89416a1d494ac9e84af3
128,0,0,0,0,17,8,9,24,14,9,3,26,62a727c0b6efe57fb90a5b86,5eab36f5df23cb10ce33f84e,6667627ba6d0d6f7b08686ab,5ed42960727ce23e4d2802b6
129,0,0,0,0,12,17,13,8,11,13,5,4,5af2f6c0c36b060001f80163,5eff5f05b92981000a2aed73,5c575a94a1c68a00018fd213,67777187e7ba2f3ced22e601
130,0,0,0,0,8,14,16,10,11,18,24,16,6765faff976fdcf31c7dbd98,676334ae578dda6ef33f5886,66c7407a167811bbcfc04d21,60670c6f988b7e2e9edd72ea
131,0,0,0,0,16,23,24,12,16,18,17,4,682ce81464477d02bf7e7fd0,677c4ec6bf1d6e16cf3d3055,63cffe69ec33b3a776d6660e,66e9236f775eae67be04229d
132,0,0,0,0,8,13,5,18,9,9,9,17,5d4699cbda9cb60015aa45f7,63d96ff56b577f6ac10e5f6c,62f26bd83a224b27ea4aae5d,6774c5b0b19b119861c73439
133,0,0,0,0,20,19,20,14,22,24,21,16,611835510db17f0afa277f7e,691b86c3d915b1e27714d6cb,5c36701dbef9a20001e36b89,6175f6de32ea8fdaa9cfe7aa
134,0,0,0,0,19,8,2,13,12,8,10,17,5a86b089aa46dd00016bb064,5d1e2045a37a4d001a1fc2cb,602fcd044ad77ad42ee9a829,5e9aff02f4a78b1a1fe7fc3c
135,0,0,0,0,16,11,17,18,13,11,18,19,60a40fb10fd5e621807cb3d1,678712caf70562b83286c6e3,5a4aaa1866e7880001de64be,5d6a924a9e02d2001514311a
136,0,0,0,0,19,2,18,12,11,9,12,16,5fb402c2ce203a01686cf33a,653f07a14204d793e710611e,5db0e17518230d00170d4332,665b2789a73e2b0adcf613f2
137,0,0,0,0,16,8,11,17,15,4,9,12,66a8a0853fb221cf4c3d0db3,664f5726fc04984e2d289a3f,66c376db003d0bf1cd3841bf,66afe5970b0a8ef50ff7cfd8
138,0,0,0,0,9,16,18,19,11,17,18,0,67aa52dcb66d138fca70a211,62a42874616cea6120350ad9,5fc7977f990ff909859b4b77,65e73b7d7433345462101dc7
139,0,0,0,0,14,9,9,12,17,12,8,18,5980fff19bf4fe0001070984,60ce6af707bcd42cbc885210,6746c680672c3ab45f25efb7,6655e364ffff4d877ac0d432
140,0,0,0,0,16,24,24,11,18,16,21,17,66098ccb8d0db61d5a55704d,5fba520e6c3b2e9c74d36273,5de7c1f7a74d1e736f79d3c6,677320620a07706498e48fa7
141,0,0,0,0,19,23,3,20,19,26,4,14,62b48d5013f4aad6df2ebbfa,62fcee59c17dc43614dcbcf6,676aba9621d311b91faf30a6,666495712bc047e006f503b2
142,0,0,0,0,10,16,26,18,10,16,17,16,576ef8ede26bd40001ebf904,641386b1cb9a9c1e3569d4ee,6773d589c3198df1ab5f8887,5dd59fe0a6438056ac397382
143,0,0,0,0,17,8,16,18,17,8,14,13,676ab6e8d3d98bb7f5865d13,615244e111aefca2b42a35f9,6766cbc9a41dc217ea76774c,649992dbf953c52641c77d6a
144,0,0,0,0,8,8,12,17,11,8,11,19,63615bb6922c170dc50b434a,5b9110223366db0001157e7d,5e6fd5930eef225956166275,62a779f845a7840040d41bf8
145,0,0,0,0,11,18,11,16,12,18,17,19,66dd8fd2905d609d29ccf008,60aab5962c85a00f1bc9631c,6306710aa6766730321f1259,63468b1061ea9fad9573cee9
146,0,0,0,0,8,24,9,9,9,24,12,14,672d806ba1b52d41e44f7cbb,5be0ed4b9da2d300010ca1db,66fe99edb8a87ffd9478d5c1,63e5e4a0e6325fe0fabe8ee6
147,0,0,0,0,16,4,25,16,19,16,22,16,5b9095901e21c10001e9e8ee,5e9b1378b0f218000c570018,57c74977b23f0e000182dc3f,666253e8c992de971c27b622
148,0,0,0,0,16,1,22,17,17,8,16,18,665af4a3c2815b2a7850332e,5c2ab2de9136140001b90737,6016f0e16f7aec8af4152aa4,661e7aea959de3433a8f255d
149,0,0,0,0,10,8,20,26,10,16,18,17,6667264700a534cc81e000e6,667871d17d7fdf0358f82a28,662601318f64397f9b539f04,5ca650fc557aec0012e200d8
150,0,0,0,0,24,8,5,19,16,5,4,16,652359572fd30ff57dfea7fb,5ea02bab250e2f03bb1ceb71,63c06106314da889290931cd,63289f0f28963caadc782a5d
151,0,0,0,0,10,6,13,18,8,2,16,17,66523ea3c5a3fea71ff6d977,67f8607be129189cd9ea4c0a,665c89bfc048d14185cac307,66c7ab8ceeb9918cef4c58c2
